OntologyID	Description	GeneRatio	pvalue	p.adjust	qvalue
C0349622	Hemangiopericytoma of meninges	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C1266163	Intraosseous well differentiated osteosarcoma	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C1835713	CIRRHOSIS, NONCRYPTOGENIC, SUSCEPTIBILITY TO (finding)	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C1852557	CORNEA PLANA 1	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C1861556	Cirrhosis, Familial	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C1970440	CORONARY ARTERY DISEASE, AUTOSOMAL DOMINANT 2 (disorder)	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C2673653	Cuboid-shaped vertebral bodies	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C2750331	Enamel defects	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C3814534	Low grade central osteosarcoma	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4016905	HYPERBILIRUBINEMIA, ROTOR TYPE, DIGENIC	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4022033	Neoplasia of the pleura	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4024880	Hair-nail ectodermal dysplasia	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4083050	Tooth agenesis	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4225231	TOOTH AGENESIS, SELECTIVE, 7	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4280764	Reduced C-peptide level	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4305140	12q14 microdeletion syndrome	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C4703635	Increased level of propylene glycol in blood	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C0241654	Abnormal heart valve morphology	6/572	0.000770189994471288	0.0726000343538498	0.0656181607131788
C0018500	Hair Diseases	4/572	0.000869297500091982	0.0809305240517732	0.0731475154398386
C0023827	liposarcoma	14/572	0.000902704425265733	0.0830157813527914	0.0750322356045651
C1862862	Patchy alopecia	3/572	0.000927766529369511	0.0842926192527167	0.076186281264015
